# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1605
#@/user_id	MatebookE
a 	啊	c=25 d=4.60339 t=1599
chou de 	丑的	c=1 d=1 t=279
chou xiang 	抽象	c=3 d=1.11281 t=1099
chu 	出	c=1 d=1 t=1445
chu lai 	出来	c=1 d=1 t=1158
chu le 	除了	c=2 d=1.97531 t=488
chu le ni 	除了你	c=1 d=1 t=1472
chu men 	出门	c=1 d=1 t=388
chu ming 	出名	c=1 d=1 t=500
chu qu 	出去	c=2 d=1.19014 t=366
chu qu 	除去	c=1 d=1 t=1302
chu zhong 	初中	c=2 d=1.09072 t=724
chu zhong sheng 	初中生	c=1 d=1 t=248
chuan can 	传参	c=1 d=1 t=11
chuan ru 	传入	c=1 d=1 t=95
chuang kou 	窗口	c=1 d=1 t=932
chun 	纯	c=1 d=1 t=1176
chun cui 	纯粹	c=1 d=1 t=539
ci 	此	c=0 d=0.1 t=1408
ci 	词	c=1 d=1 t=1553
ci xiao gui 	此小鬼	c=1 d=1 t=1409
cong 	从	c=1 d=1 t=1039
cong ming 	聪明	c=1 d=1 t=1199
cun kuan 	存款	c=1 d=1 t=1172
cun zai gan 	存在感	c=1 d=1 t=542
cuo le 	错了	c=1 d=1 t=1462
da gai 	大概	c=1 d=1 t=1539
da ge che 	打个车	c=1 d=1 t=341
da jie jie 	大姐姐	c=1 d=1 t=107
da kai 	打开	c=2 d=1.97531 t=797
da le 	打了	c=1 d=1 t=1377
da li wo 	搭理我	c=1 d=1 t=1106
da nao 	大脑	c=1 d=1 t=1396
da wu 	大雾	c=1 d=1 t=1247
da xie 	大写	c=2 d=1.0102 t=1149
da xue 	大学	c=1 d=1 t=1150
da you xi 	打游戏	c=1 d=1 t=1576
dai 	带	c=1 d=1 t=1447
dai li 	代理	c=3 d=2.7962 t=262
dan 	但	c=1 d=1 t=1216
dan fan 	单反	c=1 d=1 t=531
dan mei 	耽美	c=1 d=1 t=210
dan shi 	但是	c=11 d=2.37916 t=1501
dan yuan ba 	但愿吧	c=1 d=1 t=1299
dang zuo 	当作	c=1 d=1 t=19
dao shi 	倒是	c=1 d=1 t=1115
dao shi hou 	到时候	c=1 d=1 t=1432
de 	的	c=39 d=4.44178 t=1602
de hua 	的话	c=2 d=1.01 t=1278
de le 	得了	c=0 d=0.1 t=1236
de shu 	的书	c=1 d=1 t=1033
dei 	得	c=1 d=1 t=407
deng bu 	登不	c=0 d=0.1 t=670
deng bu shang lie 	登不上列	c=1 d=1 t=671
deng deng 	等等	c=1 d=1 t=1579
deng hui 	等会	c=1 d=1 t=186
deng lu 	登录	c=2 d=1.07317 t=666
di 	低	c=1 d=1 t=467
di 	底	c=1 d=1 t=466
di er ge 	第二个	c=1 d=1 t=703
di tu 	地图	c=2 d=1.99501 t=313
di yi ge 	第一个	c=2 d=1.86936 t=726
dian 	点	c=1 d=1 t=275
dian feng 	巅峰	c=1 d=1 t=476
dian mo 	电摩	c=1 d=1 t=418
dian nao 	电脑	c=1 d=1 t=1470
dian ying 	电影	c=1 d=1 t=1320
dian zai 	点在	c=1 d=1 t=1260
diao le 	掉了	c=1 d=1 t=667
diao yong 	调用	c=1 d=1 t=13
die 	爹	c=1 d=1 t=1590
ding yue 	订阅	c=1 d=1 t=253
ding zhe 	盯着	c=1 d=1 t=616
diu 	丢	c=1 d=1 t=1421
dong bu dong 	动不动	c=1 d=1 t=678
dong man 	动漫	c=1 d=1 t=1001
dou 	都	c=7 d=1.90411 t=1259
dou neng 	都能	c=1 d=1 t=204
dou shi 	都是	c=2 d=1.011 t=1057
dou suan 	都算	c=1 d=1 t=779
dui 	对	c=6 d=2.01801 t=1151
dui a 	对啊	c=1 d=1 t=185
dui de 	对的	c=1 d=1 t=1478
dui fang 	对方	c=1 d=1 t=916
dui wo 	对我	c=1 d=1 t=1127
duo 	多	c=1 d=1.00047 t=1231
duo de shi 	多的是	c=1 d=1 t=1434
duo shao 	多少	c=1 d=1 t=59
duo she si 	多社死	c=1 d=1 t=160
duo shu 	多数	c=1 d=1 t=1460
e 	呃	c=-6 d=0.488754 t=1560
e long 	恶龙	c=0 d=0.1 t=15
en 	嗯	c=1 d=1 t=1360
en heng 	嗯哼	c=4 d=1.87724 t=613
er 	二	c=1 d=1 t=261
er yi 	而已	c=1 d=1 t=1266
fa 	发	c=2 d=1.21981 t=583
fa dian 	发电	c=1 d=1 t=657
fa huo 	发火	c=2 d=1.91851 t=1013
fan cha 	反查	c=1 d=1 t=229
fan fan 	翻翻	c=1 d=1 t=565
fan jian 	繁简	c=1 d=1 t=221
fan ti 	繁体	c=1 d=1 t=259
fan xie gang 	反斜杠	c=3 d=2.90727 t=26
fan zheng 	反正	c=1 d=1 t=1004
fang 	仿	c=1 d=1 t=937
fang 	房	c=1 d=1 t=1170
fang an 	方案	c=1 d=1.00037 t=1337
fang gao 	方糕	c=1 d=1 t=426
fang jia 	放假	c=3 d=1.98952 t=1431
fang mian 	方面	c=2 d=1.80654 t=1304
fang qi 	放弃	c=1 d=1 t=1399
fei chi 	飞驰	c=0 d=0.1 t=1323
fei chi ren sheng 	飞驰人生	c=4 d=3.90223 t=1334
fei ren lei 	非人类	c=1 d=1 t=201
fen 	分	c=1 d=1 t=480
fen ji 	分集	c=1 d=1 t=257
fen jie zhe 	分解者	c=1 d=1 t=1527
fen lei 	分类	c=1 d=1 t=238
fen zhong 	分钟	c=1 d=1 t=326
feng mian 	封面	c=1 d=1 t=1024
fu cong 	服从	c=1 d=1 t=1459
fu hao 	符号	c=1 d=1 t=230
fu he 	符合	c=1 d=1 t=1366
fu ta 	扶她	c=1 d=1 t=209
gan chu qu 	赶出去	c=1 d=1 t=362
gan jue 	感觉	c=1 d=1 t=984
gan ma 	干嘛	c=1 d=1 t=1282
gan shen me 	干什么	c=1 d=1 t=1131
gang hao 	刚好	c=1 d=1 t=359
gang qin 	钢琴	c=1 d=1 t=1274
gang tai 	港台	c=1 d=1 t=183
gang xing 	刚醒	c=1 d=1 t=308
gao xiao de 	搞笑的	c=1 d=1 t=1208
ge 	个	c=3 d=1.84476 t=1505
ge ci 	歌词	c=2 d=1.97045 t=940
ge dan 	歌单	c=1 d=1 t=944
ge zhong 	各种	c=1 d=1 t=1025
gei 	给	c=0 d=0.1 t=506
gei ni 	给你	c=2 d=1.01297 t=1554
gei ta 	给她	c=1 d=1 t=361
gei wo 	给我	c=0 d=0.1 t=1286
gei wo men 	给我们	c=1 d=1 t=1455
gei wo pai de 	给我拍的	c=1 d=1 t=1287
gei xue xiao 	给学校	c=1 d=1 t=507
gen 	跟	c=1 d=1 t=747
gen ni 	跟你	c=2 d=1.27665 t=447
gen wo 	跟我	c=1 d=1 t=101
geng 	更	c=1 d=1 t=1178
geng gan xing qu 	更感兴趣	c=1 d=1 t=749
geng hao yong 	更好用	c=1 d=1 t=141
geng nian qi 	更年期	c=1 d=1 t=979
geng xin 	更新	c=1 d=1 t=254
gong ju 	工具	c=1 d=1 t=578
gong neng 	功能	c=1 d=1 t=166
gong shi 	公示	c=1 d=1 t=2
gou hua 	够花	c=1 d=1.09139 t=1164
gu ge 	谷歌	c=1 d=1 t=329
gu ji 	估计	c=2 d=1.00436 t=1525
gua 	挂	c=2 d=1.97531 t=182
gua shang 	挂上	c=1 d=1 t=558
guai qi 	怪起	c=1 d=1 t=896
guan fang ban 	官方版	c=1 d=1 t=138
guan jian ci 	关键词	c=2 d=1.94649 t=702
guan le 	关了	c=1 d=1 t=298
guan li qi 	管理器	c=1 d=1 t=933
guan wang 	官网	c=1 d=1 t=126
guan yu wo 	关于我	c=2 d=1.02237 t=1018
guang 	广	c=1 d=1 t=1265
guang ming zheng da 	光明正大	c=1 d=1 t=360
gui chu 	鬼畜	c=1 d=1 t=763
gui yi 	诡异	c=1 d=1 t=73
gui ze 	规则	c=1 d=1 t=871
guo nei 	国内	c=1 d=1 t=730
guo ran 	果然	c=1 d=1 t=935
ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈	c=1 d=1 t=1546
hai 	还	c=5 d=1.14074 t=1239
hai bu neng 	还不能	c=1 d=1 t=1042
hai jue de 	还觉得	c=1 d=1 t=1121
hai neng 	还能	c=2 d=1.05079 t=738
hai shuo 	还说	c=1 d=1 t=550
hai tang wan 	海棠湾	c=2 d=1.98511 t=321
hai xiang 	还想	c=1 d=1 t=1384
hai xing 	还行	c=1 d=1 t=819
hai yao 	还要	c=2 d=1.9802 t=1071
hai you 	还有	c=1 d=1 t=35
hai you ren 	还有人	c=1 d=1 t=1454
hai zi 	孩子	c=1 d=1.03379 t=1175
han shu 	函数	c=1 d=1 t=1
hang xing 	航行	c=1 d=1 t=818
hao 	号	c=3 d=2.27799 t=1563
hao 	好	c=2 d=1.00065 t=1557
hao ba 	好吧	c=3 d=1.5318 t=1512
hao che 	豪车	c=1 d=1 t=1161
hao duo 	好多	c=2 d=1.2265 t=947
hao hao hao 	好好好	c=2 d=1.03035 t=1382
hao le 	好了	c=1 d=1 t=817
hao mang 	好忙	c=1 d=1 t=1568
hao qiang da 	好强大	c=1 d=1 t=62
hao shi 	好事	c=2 d=1.00042 t=1593
hao xiang 	好像	c=5 d=2.02805 t=1174
hao xiang shi 	好像是	c=1 d=1 t=923
hao you xi 	好游戏	c=1 d=1 t=45
he 	和	c=8 d=2.47736 t=1597
he ji 	合集	c=2 d=1.98511 t=881
he ni 	和你	c=1 d=1 t=1390
he zhe ge 	和这个	c=1 d=1 t=1094
hen 	很	c=1 d=1 t=1600
hen duo zhong 	很多种	c=1 d=1 t=596
hen gui 	很贵	c=1 d=1 t=1061
hen hao 	很好	c=1 d=0.168221 t=772
hen hao zhao 	很好找	c=1 d=1 t=773
hen jiu 	很久	c=2 d=1.01344 t=1250
hen jiu zhi qian 	很久之前	c=1 d=1 t=571
hen nan 	很难	c=1 d=1 t=39
hen qing 	很轻	c=1 d=1 t=1035
hen yan 	很严	c=1 d=1 t=1098
hou lai 	后来	c=2 d=1.09395 t=986
hu lve 	忽略	c=2 d=1.01357 t=885
hua 	话	c=0 d=0.1 t=1377
hua guo yuan 	花果园	c=1 d=1 t=1598
huan lian 	换脸	c=1 d=1 t=243
huang you 	黄油	c=2 d=1.02678 t=770
hui 	会	c=1 d=1 t=914
hui kao 	会考	c=1 d=1 t=1437
hui lv 	汇率	c=2 d=1.99501 t=931
hui qu 	回去	c=1 d=1 t=375
huo zhe 	或者	c=2 d=1.13876 t=827
ji ben 	基本	c=1 d=1 t=203
ji bu qing 	记不清	c=1 d=1 t=84
ji ge 	几个	c=1 d=1 t=686
ji le 	急了	c=1 d=1 t=1548
ji shi 	急事	c=1 d=1 t=380
ji shi zhong 	几十种	c=1 d=1 t=600
ji suan ji 	计算机	c=1 d=1 t=1226
jia dian 	加点	c=1 d=1 t=1258
jia qi 	假期	c=1 d=1 t=1567
jia shu 	家属	c=1 d=1 t=1068
jia zhang 	家长	c=1 d=1 t=1011
jian 	简	c=1 d=1 t=1552
jian dan shuo 	简单说	c=1 d=1 t=851
jian yi 	建议	c=1 d=1 t=1502
jiang 	将	c=1 d=1 t=28
jiao 	叫	c=2 d=1.08716 t=681
jiao ao 	骄傲	c=1 d=1 t=217
jiao cheng 	教程	c=3 d=2.0012 t=941
jiao shang 	叫上	c=0 d=0.1 t=1581
jiao shang le 	叫上了	c=1 d=1 t=1582
jie 	节	c=1 d=1 t=184
jie pi 	洁癖	c=0 d=0.1 t=838
jie shi 	解释	c=1 d=1 t=1005
jie shou 	接受	c=1 d=1 t=205
jin 	进	c=1 d=1 t=802
jin chi 	矜持	c=1 d=1 t=682
jin man 	禁漫	c=1 d=1 t=144
jin ru 	进入	c=1 d=1 t=240
jin tian 	今天	c=1 d=1 t=233
jing dian 	经典	c=1 d=1 t=955
jiu 	就	c=4 d=1.69866 t=1556
jiu duo 	就多	c=0 d=0.1 t=1016
jiu gou le 	就够了	c=2 d=1.45158 t=1173
jiu qu 	就去	c=1 d=1 t=1200
jiu shi 	就是	c=6 d=1.68052 t=1222
jiu xing 	就行	c=1 d=1 t=1148
jiu zhong 	九中	c=0 d=0.1 t=441
ju hua 	句话	c=0 d=0.1 t=1460
ju zi 	橘子	c=1 d=1 t=891
jue de 	觉得	c=2 d=1.30575 t=1191
jue se 	角色	c=1 d=1 t=60
kai 	开	c=5 d=1.61732 t=1503
kai de 	开的	c=1 d=1 t=1074
kai shi 	开始	c=1 d=1 t=1041
kai yuan 	开源	c=1 d=1.08511 t=838
kai yuan jie pi 	开源洁癖	c=1 d=1 t=839
kan 	看	c=8 d=1.23462 t=1479
kan bu qi 	看不起	c=1 d=1 t=1595
kan dao 	看到	c=2 d=1.0513 t=1180
kan de 	看的	c=1 d=1 t=950
kan de shang 	看得上	c=1 d=1 t=633
kan guo 	看过	c=3 d=2.04442 t=645
kan hao 	看好	c=1 d=1 t=149
kan jian 	看见	c=1 d=1 t=1022
kan jian guo 	看见过	c=1 d=1 t=1049
kan kan 	看看	c=2 d=1.63128 t=377
kan ta 	看她	c=1 d=1 t=995
kan zhe 	看着	c=1 d=1 t=599
kao 	考	c=1 d=1 t=460
kao 	靠	c=0 d=0.1 t=1274
kao hao le 	考好了	c=1 d=1 t=464
kao lv 	考虑	c=1 d=1 t=845
kao lv de 	考虑的	c=0 d=0.1 t=1016
kao lv de jiu duo le 	考虑的就多了	c=1 d=1 t=1017
kao shang 	考上	c=1 d=1 t=1123
ke huan shi jie 	科幻世界	c=1 d=1 t=622
ke neng 	可能	c=2 d=1.20393 t=628
ke yi 	可以	c=3 d=1.66737 t=926
ke yi yong 	可以用	c=1 d=1 t=826
ken ding 	肯定	c=2 d=1.24783 t=1442
kong pa 	恐怕	c=1 d=1 t=771
kong zhi 	控制	c=1 d=1 t=1085
kou le 	扣了	c=1 d=1 t=479
kou zhao 	口罩	c=1 d=1 t=1292
kua xing bie 	跨性别	c=1 d=1 t=653
kuai 	快	c=1 d=1 t=302
kuai jie jian 	快捷键	c=1 d=1 t=887
kun le 	困了	c=0 d=0.1 t=1307
kun le kun le 	困了困了	c=1 d=1 t=1308
la dao 	拉倒	c=1 d=1 t=1144
la le 	拉了	c=1 d=1 t=461
lai yi ge 	来一个	c=1 d=1 t=545
lai zhe 	来着	c=1 d=1 t=641
lai zi 	来自	c=1 d=1 t=214
lan 	懒	c=1 d=1 t=1270
lan le 	懒了	c=1 d=1 t=514
lan yong 	滥用	c=1 d=1 t=1516
lao shi 	老师	c=1 d=1.04868 t=1438
le 	了	c=31 d=3.15589 t=1581
lei guan 	雷管	c=1 d=1 t=1448
lei zhui 	累赘	c=1 d=1 t=1177
li 	离	c=1 d=1 t=315
li 	里	c=1 d=1 t=801
li de 	里的	c=2 d=1.07654 t=591
li mian 	里面	c=2 d=1.85214 t=627
li shi 	历史	c=0 d=0.1 t=1294
li shi lao shi 	历史老师	c=1 d=1 t=1295
li zi 	粒子	c=1 d=1 t=294
lian ji 	联机	c=1 d=1 t=768
lian jie 	连接	c=1 d=1 t=14
lian tong 	炼铜	c=1 d=1 t=97
liang ge 	两个	c=0 d=0.1 t=109
liang zhe 	两者	c=1 d=1 t=640
liao 	聊	c=1 d=1 t=751
liao tian 	聊天	c=1 d=1 t=1395
ling chi 	凌迟	c=1 d=1 t=1549
ling dao ren 	领导人	c=1 d=1 t=761
ling wai 	另外	c=0 d=0.1 t=109
ling wai liang ge 	另外两个	c=1 d=1 t=110
liu 	刘	c=1 d=1 t=520
liu 	留	c=1 d=1 t=977
liu lan qi 	浏览器	c=1 d=1 t=796
liu zhan 	柳湛	c=4 d=2.38053 t=536
long niang 	龙娘	c=1 d=1 t=823
lu ping 	录屏	c=1 d=1 t=288
ma 	吗	c=9 d=2.38689 t=1578
ma 	妈	c=-3 d=1.16551 t=1341
ma 	马	c=1 d=1 t=970
ma tou 	码头	c=1 d=1 t=905
mai qu 	买去	c=1 d=1 t=425
mai shu 	买书	c=1 d=1 t=1020
man 	满	c=1 d=1 t=487
man fen 	满分	c=1 d=1 t=493
mao niang 	猫娘	c=1 d=1 t=1559
mao si 	貌似	c=1 d=1 t=1279
mao zi 	帽子	c=1 d=1 t=1290
me 	么	c=1 d=1 t=402
mei 	没	c=3 d=1.64936 t=498
mei ben 	每本	c=1 d=1 t=626
mei chi guo 	没吃过	c=1 d=1 t=429
mei gong zuo 	没工作	c=1 d=1 t=355
mei le 	没了	c=0 d=0.1 t=1452
mei pai 	没拍	c=1 d=1 t=511
mei ren 	没人	c=1 d=1 t=1103
mei shen me 	没什么	c=3 d=1.05977 t=1536
mei shi 	没事	c=3 d=2.62155 t=373
mei shuo guo 	没说过	c=1 d=1 t=270
mei wen ti 	没问题	c=1 d=1 t=1571
mei xing qu 	没兴趣	c=1 d=1 t=1206
mei yong 	没用	c=1 d=1 t=1280
mei you 	没有	c=4 d=1.04932 t=1529
mei zen me 	没怎么	c=1 d=1 t=55
men 	门	c=1 d=1 t=1254
men kou 	门口	c=1 d=1 t=416
men sa 	门撒	c=1 d=1 t=1253
ming ling 	命令	c=2 d=1.99005 t=96
ming ling hang 	命令行	c=2 d=1.98511 t=579
ming shi 	明示	c=1 d=1 t=1026
ming tian 	明天	c=2 d=1.94649 t=1426
mo ban 	模板	c=1 d=1 t=219
mo ni qi 	模拟器	c=1 d=1 t=904
mo ren 	默认	c=1 d=1 t=10
mu qian 	目前	c=1 d=1 t=543
na 	那	c=2 d=1.35169 t=1490
na bu shi 	那不是	c=1 d=1 t=1592
na ge 	哪个	c=2 d=1.0025 t=1464
na ge 	那个	c=2 d=1.12431 t=1339
na jiu shi 	那就是	c=1 d=1 t=568
na me 	那么	c=1 d=1 t=1477
na me da 	那么大	c=1 d=1 t=1129
na me duo 	那么多	c=1 d=1 t=1354
na me gao 	那么高	c=1 d=1 t=1153
na shi 	那是	c=1 d=1 t=1507
na yi dui 	那一堆	c=1 d=1 t=100
na you 	哪有	c=1 d=1 t=1542
nai cha 	奶茶	c=2 d=1.99501 t=6
nan de 	男的	c=1 d=1 t=65
nan liang 	南梁	c=1 d=1 t=207
nan niang 	男娘	c=3 d=1.59491 t=251
nan nv 	男女	c=1 d=1 t=208
nan tong 	南通	c=1 d=1 t=267
nan zhao 	难找	c=1 d=1 t=1469
nao hai li 	脑海里	c=1 d=1 t=999
ne 	呢	c=3 d=1.64454 t=1577
nei me 	内么	c=1 d=1 t=1474
neng 	能	c=5 d=1.4905 t=1493
neng bu neng 	能不能	c=2 d=1.06329 t=585
neng da kai 	能打开	c=1 d=1 t=588
neng fou 	能否	c=1 d=1 t=21
neng shang 	能上	c=0 d=0.1 t=1141
neng shang shang 	能上上	c=1 d=1 t=1142
ni 	你	c=4 d=2.18663 t=1515
ni 	尼	c=-1 d=0.894035 t=1357
ni bu xiang 	你不想	c=1 d=1 t=170
ni bu zhi dao 	你不知道	c=1 d=1 t=755
ni cai 	你猜	c=1 d=1 t=1402
ni de 	你的	c=1 d=1 t=1367
ni de ming zi 	你的名字	c=1 d=1 t=1327
ni deng xia 	你等下	c=1 d=1 t=587
ni dong bu dong 	你懂不懂	c=1 d=1 t=679
ni dou 	你都	c=1 d=1 t=774
ni gang cai 	你刚才	c=1 d=1 t=98
ni hai 	你还	c=1 d=1 t=744
ni hao 	拟好	c=-1 d=0.955997 t=1319
ni he wo 	你和我	c=1 d=1 t=342
ni hui 	你会	c=1 d=1 t=352
ni jia 	你家	c=1 d=0.105221 t=1448
ni ke yi 	你可以	c=1 d=1 t=604
ni lai 	你来	c=1 d=1 t=356
ni na 	你那	c=1 d=1 t=1066
ni ren shi ma 	你认识吗	c=1 d=1 t=1289
ni shi 	你是	c=2 d=1.83946 t=1533
ni shu yi xia 	尼输一下	c=1 d=1 t=1357
ni tian 	逆天	c=1 d=1 t=129
ni xi huan 	你喜欢	c=2 d=1.02573 t=822
ni ye 	你也	c=1 d=1 t=1513
ni zhe 	你这	c=1 d=1 t=1594
ni zhe ge 	你这个	c=1 d=1 t=1034
ni zi ji 	你自己	c=2 d=1.02317 t=1350
nian ling 	年龄	c=1 d=1 t=722
niao niao 	尿尿	c=1 d=1 t=246
niu 	牛	c=0 d=0.1 t=785
niu nai 	牛奶	c=1 d=1 t=431
niu niu 	牛牛	c=0 d=0.1 t=785
niu niu niu 	牛牛牛	c=1 d=1 t=786
nu 	怒	c=0 d=0.1 t=15
nu li 	努力	c=1 d=1 t=1201
nu sai e long 	怒赛恶龙	c=1 d=1 t=16
nv pu 	女仆	c=3 d=2.84153 t=1591
o 	哦	c=2 d=1.07465 t=1344
pai 	拍	c=2 d=1.97528 t=536
pai de 	拍的	c=2 d=0.143832 t=1286
pai zhao 	拍照	c=1 d=1 t=508
pei 	陪	c=1 d=1 t=1104
pei chang 	赔偿	c=1 d=1 t=1457
pei zhi 	配置	c=4 d=1.12687 t=872
pei zhi zhong 	配置中	c=1 d=1 t=23
peng you quan 	朋友圈	c=1 d=1 t=584
pian 	片	c=2 d=1.58567 t=843
pian 	篇	c=1 d=1.09656 t=636
pian 	骗	c=1 d=1 t=544
ping bi 	屏蔽	c=1 d=1 t=699
ping tai 	平台	c=0 d=0.1 t=158
po 	破	c=1 d=1 t=303
qi 	起	c=-1 d=0.00282287 t=1560
qi 	骑	c=-2 d=0.00616169 t=1560
qi dian 	起点	c=1 d=1 t=319
qi nian ji 	七年级	c=3 d=2.78275 t=497
qi shi 	其实	c=8 d=2.99167 t=1300
qi ta 	其他	c=1 d=1 t=1303
qi wang 	期望	c=1 d=1 t=1130
qi zhi 	气质	c=1 d=1 t=1368
qian 	签	c=-1 d=0.0858632 t=1560
qian 	钱	c=-1 d=0.0126186 t=1560
qian gou hua 	钱够花	c=1 d=1 t=1147
qian tu si jin 	前途似锦	c=1 d=1 t=1361
qiang 	强	c=-3 d=0.0199671 t=1560
qiang da 	强大	c=0 d=0.1 t=61
qiang zhe 	抢着	c=1 d=1 t=1586
qiao ke li 	巧克力	c=1 d=1 t=433
qiao tou 	翘头	c=1 d=1 t=419
qie huan 	切换	c=1 d=1 t=222
qin qi 	亲戚	c=1 d=1 t=378
qing cai 	青菜	c=1 d=1 t=893
qing hua 	清华	c=2 d=1.956 t=1224
qing hua bei da 	清华北大	c=2 d=1.68386 t=1202
qing qi 	清奇	c=1 d=1 t=1601
qu 	去	c=-5 d=0.456208 t=1560
qu kan 	去看	c=1 d=1 t=857
qu kan kan 	去看看	c=1 d=1 t=787
qu na 	去哪	c=1 d=1 t=949
qu xue 	去学	c=1 d=1 t=351
quan 	全	c=-1 d=0.041227 t=1560
quan kuan 	全款	c=1 d=1 t=405
quan ping tai 	全平台	c=1 d=1 t=159
quan shi zhi yan 	全视之眼	c=1 d=1 t=1326
quan tian 	全天	c=1 d=1 t=348
que ai 	缺爱	c=1 d=1 t=1059
que de 	缺的	c=1 d=1 t=946
